,id_lot,nb_piece,prix_tva_normale,prix_HT,prix_m2_HT
73,61_2_LesBucoliques_Bouygues,3.0,212000.0,176666.67,2862.85
74,60_3_LesBucoliques_Bouygues,3.0,212000.0,176666.67,2909.05
75,67_2_LesBucoliques_Bouygues,3.0,213000.0,177500.0,2619.93
76,59_3_LesBucoliques_Bouygues,3.0,217000.0,180833.33,3039.22
77,72_2__1_LesBucoliques_Bouygues,3.0,221000.0,184166.67,2556.81
78,81_1_LesBucoliques_Bouygues,4.0,226000.0,188333.33,2300.96
79,78_1_LesBucoliques_Bouygues,4.0,227000.0,189166.67,2425.21
80,75_2_LesBucoliques_Bouygues,3.0,229000.0,190833.33,2528.93
81,71_LesBucoliques_Bouygues,3.0,231000.0,192500.0,2688.92
82,72_LesBucoliques_Bouygues,3.0,232000.0,193333.33,2684.07
83,72_3_LesBucoliques_Bouygues,3.0,232000.0,193333.33,2684.07
84,82_LesBucoliques_Bouygues,4.0,233000.0,194166.67,2344.44
85,89_LesBucoliques_Bouygues,4.0,239000.0,199166.67,2227.57
86,75_3_LesBucoliques_Bouygues,3.0,239000.0,199166.67,2639.37
87,88_1_LesBucoliques_Bouygues,4.0,239000.0,199166.67,2255.06
88,89_1_LesBucoliques_Bouygues,4.0,240000.0,200000.0,2222.47
89,87_LesBucoliques_Bouygues,4.0,240000.0,200000.0,2274.8
90,89_1__1_LesBucoliques_Bouygues,4.0,250000.0,208333.33,2315.07
91,89_1__2_LesBucoliques_Bouygues,4.0,250000.0,208333.33,2315.07
92,89__1_LesBucoliques_Bouygues,4.0,255000.0,212500.0,2376.69
93,89__2_LesBucoliques_Bouygues,4.0,255000.0,212500.0,2376.69
94,89_1__3_LesBucoliques_Bouygues,4.0,255000.0,212500.0,2361.37
95,87__1_LesBucoliques_Bouygues,4.0,257000.0,214166.67,2435.93
96,87_2_LesBucoliques_Bouygues,4.0,258000.0,215000.0,2445.4
97,89__3_LesBucoliques_Bouygues,4.0,259000.0,215833.33,2413.97
98,90_LesBucoliques_Bouygues,4.0,260000.0,216666.67,2398.35
99,97_LesBucoliques_Bouygues,4.0,264000.0,220000.0,2246.5
100,90__1_LesBucoliques_Bouygues,4.0,265000.0,220833.33,2444.47
101,90__2_LesBucoliques_Bouygues,4.0,268000.0,223333.33,2472.14
102,97__1_LesBucoliques_Bouygues,4.0,274000.0,228333.33,2331.6
103,87_2__1_LesBucoliques_Bouygues,4.0,275000.0,229166.67,2606.54
104,97__2_LesBucoliques_Bouygues,4.0,277000.0,230833.33,2357.13
105,97__3_LesBucoliques_Bouygues,4.0,290000.0,241666.67,2467.75
106,83_5_PRISMELot3-BtimentsCDetE_Bouygues,4.0,261199.6208530806,217666.35,2603.04
107,89_6_PRISMELot3-BtimentsCDetE_Bouygues,4.0,347200.0,289333.33,3222.69
108,59_0_L'alcve_Bouygues,3.0,203400.5687203792,169500.47,2849.71
109,59_2_L'alcve_Bouygues,3.0,208399.62085308056,173666.35,2919.74
110,63_1_L'alcve_Bouygues,3.0,216500.4739336493,180417.06,2832.74
111,59_3_L'alcve_Bouygues,3.0,218500.09478672987,182083.41,3061.25
112,63_2_L'alcve_Bouygues,3.0,221000.1895734597,184166.82,2891.61
113,85_4_L'alcve_Bouygues,4.0,338500.09478672984,282083.41,3315.9
114,45_5_CtSud_Bouygues,2.0,160000.0,133333.33,2957.7
115,61_5_CtSud_Bouygues,3.0,203000.1895734597,169166.82,2749.79
116,103_6_CtSud_Bouygues,5.0,399000.5687203792,332500.47,3206.37
117,105_6_CtSud_Bouygues,5.0,430000.3791469194,358333.65,3401.36
118,72_6_PRISMEBtimentF_Bouygues,3.0,302300.0,251916.67,3494.96
119,71_6_PRISMEBtimentF_Bouygues,3.0,304100.0,253416.67,3561.22
120,85_5_PRISMEBtimentF_Bouygues,4.0,376500.0,313750.0,3662.31
121,85_5__1_PRISMEBtimentF_Bouygues,4.0,378600.0,315500.0,3687.04
122,66_L'ARC_Bouygues,3.0,366000.0,305000.0,4610.73
123,64_1_L'ARC_Bouygues,3.0,375000.0,312500.0,4871.4
124,66_1_L'ARC_Bouygues,3.0,378000.0,315000.0,4766.95
125,64_2_L'ARC_Bouygues,3.0,384000.0,320000.0,4988.31
126,66_2_L'ARC_Bouygues,3.0,389000.0,324166.67,4905.67
127,65_L'ARC_Bouygues,3.0,398000.0,331666.67,5030.59
128,93_1_L'ARC_Bouygues,4.0,510000.0,425000.0,4546.43
129,93_2_L'ARC_Bouygues,4.0,519000.0,432500.0,4626.66
130,84_Autourd'unjardin_Bouygues,4.0,332999.0,277499.17,3277.81
131,84_2_Autourd'unjardin_Bouygues,4.0,332999.0,277499.17,3286.35
132,84__1_Autourd'unjardin_Bouygues,4.0,332999.0,277499.17,3285.57
133,84_1_Autourd'unjardin_Bouygues,4.0,332999.0,277499.17,3285.57
134,91_Autourd'unjardin_Bouygues,4.0,352999.0,294165.83,3232.24
135,91__1_Autourd'unjardin_Bouygues,4.0,352999.0,294165.83,3224.09
136,43_1_L'AuroredesRossignols_Bouygues,2.0,139000.0,115833.33,2647.01
137,45_1_L'AuroredesRossignols_Bouygues,2.0,152500.0,127083.33,2820.94
138,69_1_L'AuroredesRossignols_Bouygues,3.0,190000.0,158333.33,2272.29
139,79_L'AuroredesRossignols_Bouygues,4.0,235000.0,195833.33,2465.17
140,86_L'AuroredesRossignols_Bouygues,4.0,265000.0,220833.33,2541.82
141,105_L'AuroredesRossignols_Bouygues,5.0,395000.0,329166.67,3115.63
142,44_1_InspiR'_Bouygues,2.0,175000.0,145833.33,3310.63
